Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AND,"Patent applications, residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,
AND,"Patent applications, nonresidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,10,12,5,8,
AND,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.87,2.08,0,0,2.64,0.5,4.7,1.31,4.93,5.02,6.23,1.68,2.55,1.2,0.88,4.53,5.26,4.18,7.96,7.91,1.67,3.29,7.44,9.7,,
AND,Research and development expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264666.1636,482661.2706,596311.5494,
ARB,High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848484271,,,,1.815769712,1.829288955,3.872436118,2.847341911,1.868079996,1.810810626,2.193831225,2.053613105,4.248811855,,
ARB,High-technology exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190926175,3107974654,2709448178,2845386055,,,,,
ARB,Technicians in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,Researchers in R&D (per million people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,"Patent applications, residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,"Patent applications, nonresidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,Scientific and technical journal articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7023.411231,7411.882185,7911.837762,7919.378752,8731.415263,9431.96122,9809.143653,10997.74319,11929.08499,12764.08744,14496.84778,15975.9261,18210.72,21574.82,24076.4,27142.25,30757.85,33930.55,36172.66,39295.82,44834.14,48014.79,54567.51,66240.24,80189.86,,
